matchID,matchDuration,win,champID,champName,position,lane,role,side,dragons,heralds,barons,towers,kills,deaths,assists,vision,gold,level,minions,objDamage,turretDamage,champDamage,takenDamage,oppGold,oppLevel,oppMinions,gold@10,level@10,minions@10,oppGold@10,oppLevel@10,oppMinions@10
KR_5269167881,1640645,False,223,TahmKench,UTILITY,BOTTOM,SUPPORT,Blue,1,1,0,2,2,4,8,12,6836,11,46,1230,1230,8060,15853,9782,14,145,3000,6,19,3058,7,58
KR_6007338156,1783,True,157,Yasuo,BOTTOM,BOTTOM,CARRY,Blue,3,2,1,10,14,8,5,22,16642,17,174,30617,7323,22925,27921,14547,16,195,5364,7,83,4167,7,71
KR_6072178318,1735,False,222,Jinx,BOTTOM,BOTTOM,CARRY,Red,1,0,0,1,4,8,2,21,11460,13,217,2435,1028,21772,21939,15260,15,239,4345,7,105,4014,7,80
KR_6094732773,1559,True,56,Nocturne,JUNGLE,JUNGLE,NONE,Blue,2,2,1,10,9,2,3,24,11357,15,18,38288,2801,12439,18646,9741,14,37,4447,8,68,3708,7,57
KR_6051704497,1474,True,99,Lux,UTILITY,BOTTOM,SUPPORT,Red,2,1,1,4,3,2,9,61,7281,12,32,5613,1126,9465,6045,5715,10,11,2919,6,11,2663,6,5
KR_6039582569,2293,False,350,Yuumi,UTILITY,BOTTOM,SUPPORT,Red,4,1,0,7,1,9,19,33,9088,15,10,1180,536,10242,19386,12978,17,40,2882,6,2,3786,7,18
KR_5160464845,931500,True,24,Jax,TOP,NONE,SUPPORT,Blue,2,1,0,10,1,3,0,3,7204,11,110,10145,10145,3096,7671,2972,7,36,5049,9,83,2378,6,37
KR_6099429641,2080,True,143,Zyra,UTILITY,BOTTOM,SUPPORT,Blue,3,1,2,8,4,9,10,54,13447,15,75,5734,2959,21929,22573,9056,15,1,2696,6,3,2691,6,0
KR_5522368142,1264,False,145,Kaisa,BOTTOM,BOTTOM,CARRY,Red,1,0,0,0,2,6,3,15,7091,11,153,826,826,8310,12175,11692,12,186,3545,7,78,4782,7,94
KR_4886260872,1923649,False,37356089,Yone,MIDDLE,MIDDLE,SOLO,Blue,1,1,0,4,3,6,4,27,11202,15,204,5411,728,9524,20360,16023,17,203,4183,9,92,5171,9,79
KR_6068537685,1312,False,875,Sett,TOP,TOP,SOLO,Blue,0,1,0,0,1,9,2,11,5427,10,73,843,0,11575,21114,9831,13,143,3038,7,50,4478,9,75
KR_6087826091,1165,False,523,Aphelios,BOTTOM,NONE,SUPPORT,Blue,1,0,0,0,3,6,2,10,6182,10,112,762,762,4505,13922,6530,9,18,3328,7,54,3367,6,8
KR_6064002909,1212,True,876,Lillia,TOP,TOP,SOLO,Red,2,2,0,2,5,1,2,6,8079,13,133,765,765,15422,10216,7593,12,140,3086,8,65,4072,9,82
KR_4883771485,1529099,True,37225015,Jayce,TOP,TOP,SOLO,Blue,3,1,1,7,2,4,4,17,11164,15,215,18720,6759,11142,15901,8653,15,167,3716,9,99,3483,9,71
KR_5183293357,1929779,True,245,Ekko,MIDDLE,MIDDLE,SOLO,Red,4,0,0,9,12,7,12,11,14177,16,158,11535,5391,25861,25116,10517,15,180,4218,8,70,3635,8,57
KR_6075947118,1212,False,150,Gnar,TOP,TOP,SOLO,Blue,1,0,0,1,1,10,2,13,6851,11,116,1561,1561,12253,17353,14164,15,190,3532,7,48,6938,9,97
