matchID,matchDuration,win,champID,champName,position,lane,role,side,dragons,heralds,barons,towers,kills,deaths,assists,vision,gold,level,minions,objDamage,turretDamage,champDamage,takenDamage,oppGold,oppLevel,oppMinions,gold@10,level@10,minions@10,oppGold@10,oppLevel@10,oppMinions@10
EUW1_5874363999,1391,True,55,Katarina,MIDDLE,MIDDLE,SOLO,Blue,3,0,0,5,3,3,4,19,7938,13,140,5114,2921,9595,12928,8683,13,159,3359,8,70,3480,9,79
EUW1_5551508359,1271,False,64,LeeSin,JUNGLE,JUNGLE,NONE,Red,1,0,0,0,4,6,4,15,7749,11,26,3701,0,12169,23871,9140,12,18,3392,7,55,4322,8,59
EUW1_5668035869,1624,False,92,Riven,TOP,TOP,SOLO,Red,0,1,0,3,2,6,2,5,8809,14,165,832,87,6278,20229,12379,15,192,3437,8,67,3067,8,61
EUW1_5954139561,1929,True,50,Swain,UTILITY,BOTTOM,SUPPORT,Blue,4,2,1,11,4,3,15,54,11086,14,51,6600,1929,22840,18722,7167,14,14,3174,6,9,2593,6,2
EUW1_5984664286,2284,False,111,Nautilus,UTILITY,BOTTOM,SOLO,Blue,3,1,0,3,4,5,7,99,9030,15,43,2292,0,7732,20990,13646,18,220,2547,7,22,3500,8,62
EUW1_5756865921,2592,True,29,Twitch,UTILITY,BOTTOM,CARRY,Blue,5,0,1,10,9,8,18,39,16885,18,209,21514,2527,34672,30380,12814,18,91,3060,6,54,2852,7,20
EUW1_5485688150,1122121,True,136,AurelionSol,MIDDLE,NONE,SUPPORT,Red,2,2,0,10,6,2,8,7,8164,12,122,4237,4237,11100,8292,7720,12,156,4350,8,76,4413,9,88
EUW1_5790122935,931,False,110,Varus,BOTTOM,NONE,SUPPORT,Red,0,0,0,0,1,2,2,13,4650,9,98,0,0,4252,5204,5895,9,104,3197,6,62,4321,7,81
EUW1_5986050761,1368,False,105,Fizz,MIDDLE,MIDDLE,SOLO,Red,0,0,0,0,4,6,4,6,7589,12,87,3551,0,12786,18597,8078,12,123,2559,7,48,3506,8,61
EUW1_5607240404,621,False,42,Corki,MIDDLE,NONE,DUO,Blue,0,0,0,0,1,3,0,3,3340,7,55,0,0,3287,4250,3565,8,69,3340,7,55,3565,8,69
EUW1_5053174950,1752281,False,37683774,Pantheon,MIDDLE,MIDDLE,SOLO,Red,1,1,0,2,3,9,1,13,7197,11,73,2080,650,8033,15673,12462,16,140,3523,7,48,3808,9,68
EUW1_6004725842,920,False,1,Annie,MIDDLE,NONE,SUPPORT,Blue,0,0,0,0,2,5,1,5,5017,9,85,877,877,8637,8687,6300,10,96,3908,7,59,3885,8,65
EUW1_5881656002,971,True,13,Ryze,MIDDLE,NONE,DUO,Blue,2,0,0,3,2,3,1,1,6305,11,121,3623,3623,5844,7908,4054,10,69,3703,9,85,3150,8,57
EUW1_5807391292,1716,True,221,Zeri,BOTTOM,BOTTOM,CARRY,Blue,2,1,2,11,10,1,11,22,13772,14,187,22472,7446,25257,18938,8993,13,20,3402,7,78,4085,7,60
EUW1_5501321008,1827,True,412,Thresh,UTILITY,BOTTOM,SUPPORT,Blue,3,2,1,9,2,4,21,65,9565,15,42,4297,2571,8475,18488,7701,12,25,3282,7,17,3049,6,8
EUW1_5862437015,1390,False,35,Shaco,JUNGLE,JUNGLE,NONE,Red,0,0,0,3,3,7,4,8,8369,13,22,1608,967,6613,18774,10999,12,23,3143,6,51,3599,6,45
EUW1_5915464684,1868,False,67,Vayne,BOTTOM,BOTTOM,CARRY,Red,0,0,0,2,3,5,1,19,9830,14,163,274,116,7351,16765,15820,17,242,2771,7,58,3950,7,75
EUW1_5458909890,1229693,False,18,Tristana,JUNGLE,JUNGLE,NONE,Red,0,0,0,0,1,3,1,1,3421,3,13,0,0,922,2145,10986,12,125,2263,3,13,5445,7,70
EUW1_6009307293,1369,False,518,Neeko,MIDDLE,MIDDLE,SOLO,Red,0,1,0,0,7,7,4,7,8411,13,104,1298,747,17595,20355,9922,14,129,4075,9,70,4419,9,87
EUW1_5471447902,1215043,False,222,Jinx,BOTTOM,BOTTOM,CARRY,Red,0,0,0,0,3,3,3,8,6643,10,128,573,0,10057,9661,8246,12,144,3705,7,81,3642,7,78
EUW1_5704784313,2230,True,131,Diana,JUNGLE,JUNGLE,NONE,Blue,3,2,1,10,8,10,13,30,16718,18,39,45253,7624,26405,34639,15256,17,39,3444,8,72,4189,8,71
EUW1_5494586288,1916,False,267,Nami,UTILITY,BOTTOM,SUPPORT,Blue,2,1,0,2,2,13,18,61,8433,14,2,392,277,7773,21973,10638,15,2,2764,6,2,3516,7,0
EUW1_5677461238,1456,True,235,Senna,UTILITY,BOTTOM,SUPPORT,Red,2,1,0,8,9,8,10,39,10605,13,46,4277,2705,15724,14410,6416,11,21,4102,6,10,3599,6,15
EUW1_5410525795,1908797,True,98,Shen,TOP,TOP,SOLO,Blue,4,2,1,8,7,8,17,24,10406,15,83,5371,4203,17430,34323,8843,16,129,3686,9,49,2544,7,36
EUW1_5677482575,2797,False,51,Caitlyn,BOTTOM,BOTTOM,CARRY,Red,3,0,2,7,11,15,12,21,17865,18,194,19330,4426,35093,39944,18563,18,277,4436,7,82,3622,6,55
EUW1_5638450060,2425,True,267,Nami,UTILITY,BOTTOM,SUPPORT,Blue,2,1,1,11,1,7,27,50,11187,16,21,4372,1886,9893,22399,12082,16,80,2309,6,2,2657,6,3
EUW1_6016813603,1835,False,141,Kayn,JUNGLE,JUNGLE,NONE,Blue,0,0,0,2,9,11,7,21,10488,13,33,998,0,23223,32736,13391,15,26,3928,6,45,4454,7,50
EUW1_5591592416,1657,True,4,TwistedFate,MIDDLE,MIDDLE,DUO,Blue,3,1,1,11,6,4,7,9,11450,15,140,8673,6914,13196,19312,6479,11,14,4096,8,73,2964,6,6
EUW1_5063100269,1067780,True,37290552,DrMundo,JUNGLE,NONE,SUPPORT,Blue,2,2,0,9,4,1,1,20,7718,11,25,34094,2089,4942,14404,6097,10,33,3995,8,71,3645,7,71
